,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
0,vaesed,vae,0,a,2,1,x,0.089154612301098,0.34497419846889843,425.0176313786745,1333.8951581946642
1,vaesed,vae,0,e,2,1,ictus,0.1538453876989021,0.45424228001725153,489.7527367534906,810.7939275280416
2,vaesed,sed,1,e,2,0,ictus,0.09221822706506466,0.5134943924712609,790.7837274689886,1502.8125626536453
3,öösed,öö,0,øː,2,1,ictus,0.21340135294157947,0.7341369701157029,571.4594660609288,1395.008899033373
4,öösed,sed,1,e,2,0,x,0.09918691083464193,0.7848873896576837,684.5804682505137,2297.044664439017
5,"orjad,",or,0,o,2,1,x,0.11716678629286936,0.9028088639572681,508.5764609655136,1940.3258571926858
6,"orjad,","jad,",1,a,2,0,ictus,0.09177773126102529,1.034680532297179,443.6607299688743,2107.9143042295896
7,öösed,öö,0,øː,2,1,x,0.24288443459798215,2.0418442227397176,788.5716807752909,1939.4082911339392
8,öösed,sed,1,e,2,0,x,0.05335033823539481,2.0285066381808683,1035.0668470278436,1929.1969398003446
9,"orjad,",or,0,o,2,1,ictus,0.1708450982512124,2.213391299125606,803.2606435474136,1584.3747669320892
10,"orjad,","jad,",1,a,2,0,ictus,0.09687298258532273,2.293854373088491,1232.963535822971,1680.8458840809449
11,päesed,päe,0,æ,2,1,x,0.14320353947395503,2.4694802679905714,1192.5137455370802,1958.1165386997668
12,päesed,päe,0,e,2,1,x,0.07300572600632904,2.470884224259923,1155.2348671315299,1944.299436772718
13,päesed,sed,1,e,2,0,x,0.05054242569668954,2.5389761033235194,846.0921705930522,1775.4544658600073
14,"pärjad,",pär,0,æ,2,1,x,0.08648657891143863,2.6878224918188485,1251.5874907304428,2110.9777853723876
15,"pärjad,","jad,",1,a,2,0,x,0.0979293894303952,2.841099666287638,781.7413681292138,2185.1135445613045
16,kinnikiilutud,kin,0,i,2,1,x,0.12435707181445554,3.806558028634997,352.85797437930313,1991.4732881667207
17,kinnikiilutud,ni,1,i,1,0,x,0.14800054882880875,3.9626271110328903,488.0951583894181,2059.166406541891
18,"sulased,",su,0,u,1,0,ictus,0.11595934004812491,4.5079940464890695,778.7939826049791,1319.8481960504207
19,"sulased,",la,1,ɑ,1,0,ictus,0.1892419282236002,4.6624152819187685,636.998325521668,1784.8054375626336
20,raudapandud,rau,0,au,2,1,ictus,0.25011695408573686,5.722714909116172,604.1911615227956,1565.6345696684991
21,raudapandud,da,1,a,2,0,ictus,0.0807255777737037,5.720729853925016,571.6822699528316,1538.1531102805693
22,"palgalised,",pal,0,al,2,0,x,0.22124242322380105,6.243274396833135,1288.5847211737866,2327.454273544265
23,"palgalised,",ga,1,a,1,0,x,0.19150856100393554,6.37590648850791,502.4831957909277,1676.1010921991278
24,teisi,tei,0,ei,2,1,ictus,0.25144032421317597,7.927608970355202,323.2738944610764,2044.0658850222628
25,teisi,si,1,i,1,0,ictus,0.1442473438907168,7.988483996217339,356.7330099970694,2379.2021508282874
26,teenimä,tee,0,eː,2,1,x,0.2845245773991216,8.24806498185104,575.9188743630388,1349.5279847837708
27,teenimä,ni,1,i,1,0,x,0.14689408414559324,8.285119345419298,577.0940002851114,1350.3062035608884
28,endi,en,0,e,2,1,x,0.12572016210658887,9.424852136464402,618.00828852541,2104.481101554289
29,endi,di,1,i,1,0,ictus,0.09925275955783164,9.565791055036524,939.3996043837458,1616.06657839815
30,vara,va,0,a,1,1,x,0.20379899962541614,9.798042512401853,650.3693094972912,1735.274929616319
31,vara,ra,1,ɑ,1,0,x,0.11303522233689733,9.848217653685456,808.9828251593697,1850.2081810006705
32,vaevama,vae,0,ae,2,1,x,0.2355598826839227,10.08699999389795,470.55887634467604,2152.258722222521
33,vaevama,va,1,a,1,0,x,0.1406781148201972,10.170111508174603,465.77891831648793,2028.0767968817743
34,Teeni,tee,0,ee,2,1,ictus,0.26996750599730746,11.52127550690226,1040.099508723683,1744.1540901418189
35,Teeni,ni,1,i,1,0,ictus,0.10586961019502183,11.515320341328788,1037.8290401258105,1762.0704604916323
36,saksa,sak,0,a,2,1,ictus,0.08866579853833301,11.612588045695466,860.5647464499252,1588.8807036886506
37,saksa,sa,1,a,1,0,ictus,0.07940220764626815,11.75815875971362,491.7819565681205,1730.806458433518
38,sada,sa,0,a,1,1,ictus,0.2327599107287206,12.019371128182252,617.3903696828128,1306.8714502147266
39,aastat –,aas,0,aː,2,1,ictus,0.23587505327393998,12.247533003954214,896.9241624927645,1747.5677929744568
40,aastat –,tat –,1,a,2,0,x,0.092635908920645,12.30737361535443,561.1182574028065,1507.354256436332
41,saksal,sak,0,a,2,1,x,0.08337231802858014,13.238629951679354,820.2935818299319,1350.6976596730303
42,saksal,sal,1,al,2,0,ictus,0.11910331146940223,13.413314808501141,794.021755750356,1663.7851655228221
43,sel´gäs,sel´,0,el,2,1,x,0.16674463605716028,13.58249104070998,1870.6804130028363,2262.531419147031
44,sel´gäs,gäs,1,æ,2,0,x,0.05628427932123259,13.603354644669688,1828.8245582294842,2091.181239396535
45,"siidikuube,",sii,0,iː,2,1,x,0.23567382260817382,13.900021309454832,523.3990069962656,1992.303838871452
