,Unnamed: 0,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2,fileid,performer
0,0,"Laula,",lau,0,au,2,1,ictus,0.2880196135338418,0.522161059138217,523.0544759312742,959.09034415714,55,LO
1,1,"Laula,","la,",1,a,2,0,ictus,0.1500317857723632,0.5692669169510391,577.3990275363575,1042.8985405908786,55,LO
2,2,"laula,",lau,0,au,2,1,x,0.2283398737925954,0.7620192470750183,628.0701564336558,1613.3236065616006,55,LO
3,3,"laula,","la,",1,a,2,0,x,0.1210893270112247,0.8139146729369717,367.31197205471807,1389.969470080918,55,LO
4,4,"suukene,",suu,0,uː,2,1,ictus,0.3598082859762108,1.1962890675347286,525.1250224819714,1081.622276943831,55,LO
5,5,"suukene,",ke,1,e,1,0,x,0.2924511441994939,1.411230440004433,528.4032562866854,1055.3449180265284,55,LO
6,6,"liigu,",lii,0,iː,2,1,x,0.2133514841649413,2.268925744481604,566.9149147853349,990.222476350837,55,LO
7,7,"liigu,","gu,",1,u,2,0,x,0.1248924473445942,2.346018132532413,564.3752009058778,1046.5223131002244,55,LO
8,8,linnu,lin,0,i,2,1,x,0.1340733370435423,2.453130851028384,623.344941434749,1041.700936194152,55,LO
9,9,linnu,nu,1,u,1,0,ictus,0.1470985480161708,2.6089733123300025,442.6865868954905,765.0946831018537,55,LO
10,10,"keelekene,",kee,0,eː,2,1,ictus,0.2554255830599166,2.84140687423737,625.7838181943368,810.9314940297938,55,LO
11,11,"keelekene,",le,1,e,2,0,ictus,0.1482806854562888,2.896573594770168,676.8483565433447,752.8818029920413,55,LO
12,12,"mõlgu,",mõl,0,ɵ,2,1,ictus,0.1110618446149844,4.10799429483818,394.74481167963967,885.3608959845304,55,LO
13,13,"mõlgu,",mõl,0,l,2,1,ictus,0.103936223647155,4.156399596177843,392.9432001891568,1954.5047464928089,55,LO
14,14,"mõlgu,","gu,",1,u,2,0,ictus,0.0914404953452621,4.269836991478574,390.2251641713713,2311.3595524739294,55,LO
15,15,marja,mar,0,a,2,1,x,0.0779416149167939,4.358324454044882,382.5254742680379,1271.5288546314723,55,LO
16,16,marja,ja,1,a,1,0,ictus,0.1637581056487089,4.575896994537597,416.7671339095835,1444.1833695382795,55,LO
17,17,"meelekene,",mee,0,eː,2,1,ictus,0.2736973466698842,4.813183804518072,376.8202913014642,983.4779437030292,55,LO
18,18,"meelekene,",le,1,e,2,0,ictus,0.1492894618199365,4.860684996915324,391.4286397795896,841.0017607685727,55,LO
19,19,"ilutse,",i,0,i,1,1,ictus,0.2415479826595046,5.897172930792229,542.5439049082045,791.352831705884,55,LO
20,20,"ilutse,",lut,1,ʊ,2,0,ictus,0.0883097828648882,5.895943373633894,534.4973376114367,803.5224934990721,55,LO
21,21,südämekene!,sü,0,y,1,1,x,0.0978518894233069,6.19858733461446,332.2079282883241,1252.131392719942,55,LO
22,22,südämekene!,dä,1,æ,1,0,x,0.2070212942570304,6.408371983859818,636.3385037479135,646.1409837004064,55,LO
23,23,vait,vait,0,a,3,1,ictus,0.2246113275194741,8.03280194965362,616.5034276282887,1404.6202277575285,55,LO
24,24,musta,mus,0,u,2,1,ictus,0.1480387926508903,9.640645560212231,627.3179401488512,1706.0237591281418,55,LO
25,25,musta,ta,1,a,1,0,ictus,0.1656807213087638,9.82281764961423,561.9482935014646,893.7675236319891,55,LO
26,26,valge,val,0,al,2,1,x,0.2316461936817013,10.897979508641136,656.1423870056915,731.6955938788178,55,LO
27,27,valge,ge,1,e,1,0,x,0.1188912583465686,10.973149465531224,442.010903188792,1934.622547276745,55,LO
28,28,lauade,lau,0,au,2,1,x,0.2439470468791214,11.21100011411618,667.6530646202712,1493.3806871760696,55,LO
29,29,"vahele,",va,0,a,1,1,x,0.1994118637139728,11.642321535038304,457.802060050744,1260.563348654479,55,LO
30,30,"vahele,",he,1,ɛ,1,0,ictus,0.2819326470740115,11.87067822562356,718.8988593139046,1599.362952256791,55,LO
31,31,kena,ke,0,e,1,1,x,0.256958526103876,12.60855492908871,756.267399943949,949.1648542485608,55,LO
32,32,kena,na,1,ɑ,1,0,x,0.1296298236165824,12.653426791109831,390.5235626158171,1500.7296539902684,55,LO
33,33,kirstu,kirs,0,i,2,1,x,0.1135219757115599,12.761687142516228,699.5550611707816,1367.5909034083195,55,LO
34,34,kirstu,tu,1,u,1,0,x,0.1004822893122607,12.917396338931413,593.7106174356426,1553.4356067657843,55,LO
35,35,keske'elle!,kes,0,e,2,1,x,0.1733511250730615,13.094707073709795,526.9398676299785,1594.3886131695867,55,LO
36,36,keske'elle!,ke,1,e,1,0,x,0.1728523283237457,13.296323416149646,324.6714320672377,1249.3004664579566,55,LO
37,0,olid,o,0,o,1,1,ictus,0.0795482672962322,4.349508650371472,372.6201599721953,1035.5220318250888,77,LO
38,1,olid,o,0,ʎ,1,1,ictus,0.0453564536577708,4.355090970381126,383.965816890812,1036.3945283414378,77,LO
39,2,olid,lid,1,ɪ,2,0,ictus,0.0823328680771897,4.414745611629431,402.3440256411791,814.2980548354358,77,LO
40,3,olid,o,0,o,1,1,ictus,0.0901101952995642,6.985994688069283,635.9746408612453,1298.9903786973896,77,LO
41,4,olid,o,0,ʎ,1,1,ictus,0.0430238041444024,6.983963394563904,638.8579885918073,1288.6240083386087,77,LO
42,5,olid,lid,1,ɪ,2,0,ictus,0.0770775786254525,7.039529071117155,704.8936782480863,1504.3177331067257,77,LO
43,6,oli,o,0,o,1,1,ictus,0.0916158026641653,9.474518821116664,537.2117864911445,1305.51769422669,77,LO
44,7,oli,o,0,ʎ,1,1,ictus,0.068999999999999,9.49771091978458,555.6074038283297,1208.8888229108136,77,LO
45,8,oli,li,1,ɪ,1,0,ictus,0.0811654110839192,9.5443763308685,537.8519940166161,1023.1694643901642,77,LO
46,9,neede,nee,0,eː,2,1,off,0.1023758292446856,10.966843918995156,673.2602493273594,1779.1850463352478,77,LO
47,10,neede,de,1,e,1,0,off,0.1383412361871272,11.079046645587896,800.8586037048501,1923.6355514967468,77,LO
