,word,syll,index,segment,quantity,accent,ictus,duration,midpoint,f1,f2,euc
0,sain,sain,0,ai,3,1,ictus,0.21750000000000025,2.2946261337868488,668.8538235689277,985.4227562731735,316.56893270424575
1,"mal´lika,",mal´,0,al,2,1,blank,0.2695677783866728,2.5321729130845885,453.1704191028246,1073.7314752452,620.5610561423755
2,"mal´lika,",li,1,i,2,0,blank,0.13076048951592334,2.5663718103425994,473.08383870221417,1086.608163757179,613.5243250549648
3,mal´likast,mal´,0,al,2,1,blank,0.24542738032219535,3.1430169801627152,525.5007125607489,1077.278300653572,551.7775880928231
4,mal´likast,li,1,i,2,0,blank,0.12271369016109723,3.1852626767755514,524.9241067922687,971.51823546659,446.59412867432127
5,sain,sain,0,ai,3,1,ictus,0.15983900226757264,3.541631519274376,911.9718052813938,1330.894195840944,418.9223905595501
6,"man´nipil´li,",man´,0,a,2,1,blank,0.24059216127254146,3.7960965341510104,476.46193159651284,1342.7999070407584,866.3379754442456
7,"man´nipil´li,",ni,1,i,2,0,blank,0.13077004435138218,3.863540477350614,542.9780447393792,969.010727942274,426.03268320289476
8,petsariinist,pet,0,e,2,0,ictus,0.18297099495626412,7.273967560367835,906.5090026149705,1990.516572723539,1084.0075701085684
9,petsariinist,sa,1,a,1,0,blank,0.20794216616402394,7.4927047254189585,492.3802220892268,1107.2085876076233,614.8283655183965
10,sain,sain,0,ai,3,1,blank,0.20794216616402572,7.996020449257312,600.2328120089596,951.698080456333,351.4652684473733
11,"riimuka,",rii,0,iː,2,1,ictus,0.2755656348352513,8.25117926405062,506.5959679211313,1163.6439871393538,657.0480192182225
12,"riimuka,",mu,1,u,2,0,ictus,0.20625157944724393,8.36543897021688,818.6357878680727,1233.9769944778766,415.34120660980386
13,riimukast,rii,0,iː,2,1,ictus,0.25566225357145456,8.955495533751803,1046.4691223331208,1955.596253835565,909.1271315024442
14,riimukast,mu,1,u,1,0,ictus,0.15108956916099459,9.029958616780043,973.4135585809572,1654.9519692201477,681.5384106391905
15,sain,sain,0,ai,3,1,blank,0.1756288524534355,9.351788670917554,973.6291240822826,1617.7920489518265,644.1629248695439
16,"rindasõl´ge,",rin,0,i,2,1,blank,0.16792875775942306,9.506333055607671,896.00624452354,1994.224482309329,1098.218237785789
17,"rindasõl´ge,",da,1,a,1,0,ictus,0.2165495809068716,9.745033206410419,720.2726307073028,1496.7160471863947,776.4434164790919
18,rindasõlesta,rin,0,i,2,1,blank,0.18896775263976906,10.419448748216308,561.4148371249854,1554.6291273607048,993.2142902357194
19,rindasõlesta,da,1,a,1,0,ictus,0.23120760322983713,10.682892026896457,560.9083778550697,1027.6692995434064,466.7609216883367
20,"sõmera,",sõ,0,ɵ,1,1,ictus,0.42462165593171974,11.641360365607548,561.5541425069816,1459.3254745991399,897.7713320921582
21,"sõmera,",me,1,ɛ,1,0,ictus,0.24676965344722745,11.72584006678768,506.9333401543477,1413.7143745697651,906.7810344154175
22,sõmerast,sõ,0,ɵ,1,0,ictus,0.37452397404587856,12.304753282435904,836.3373682719124,1681.284357837246,844.9469895653336
