,Unnamed: 0,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2,euc,fileid,performer
0,0,miks,miks,0,i,3,1,ictus,0.1039651386468509,1.423198698737554,606.8358913693418,1313.8857606141862,707.0498692448444,94,LK
1,1,sa,sa,0,a,3,1,ictus,0.1253408207561972,1.581560716500548,674.8698814840866,1469.8997619127915,795.0298804287052,94,LK
2,2,mullu,mul,0,ul,2,1,off,0.1594804930285427,1.7287565701260483,754.864293864719,1336.4797148509588,581.6154209862398,94,LK
3,3,mullu,lu,1,u,1,0,off,0.1580853657533629,1.8441354795138116,590.1233587428162,1120.7897249706973,530.6663662278811,94,LK
4,4,meile(e)i,mei,0,ei,2,1,ictus,0.2359466430951706,2.0309415213338045,711.5173302110895,1380.4563613846476,668.9390311735581,94,LK
5,5,meile(e)i,le,1,eiː,1,0,ictus,0.1560073310288947,2.097608354036404,799.4531622890729,1443.2690958280564,643.8159335389835,94,LK
6,6,"tulnud,",tul,0,ul,2,1,off,0.1519557547736454,2.212860207869863,808.9166165945924,1412.5467029156314,603.630086321039,94,LK
7,7,"tulnud,","nud,",1,u,2,0,off,0.1313314464297121,2.3075625486116818,812.8397917725954,1427.744656656622,614.9048648840267,94,LK
8,8,murumullu,mu,0,u,1,1,off,0.1056258555423372,2.44557721765304,700.8980799697481,1445.3218504103002,744.4237704405521,94,LK
9,9,murumullu,ru,1,ʊ,1,0,ictus,0.2079560601747934,2.62154242566416,447.55066085959135,1265.17262234087,817.6219614812787,94,LK
10,10,meil,meil,0,eil,3,1,ictus,0.2804660959299614,3.063811504622207,485.5145070864824,1083.5860200526974,598.0715129662151,94,LK
11,11,ei,ei,0,e,3,1,off,0.0824757397467728,3.006054196403999,849.9746438542288,1270.154977640702,420.18033378647306,94,LK
12,12,ei,ei,0,iː,3,1,ictus,0.0980754314193861,3.062891757949999,486.1479673449778,1091.0512341323413,604.9032667873635,94,LK
13,13,"käinud,",käi,0,æi,2,1,ictus,0.2040605300760258,3.2503092962338465,675.4424971054746,1643.5170778021686,968.074580696694,94,LK
14,14,"käinud,","nud,",1,u,2,0,ictus,0.0966424067685647,3.274585150532737,489.6137411671354,1524.0602910262403,1034.446549859105,94,LK
15,15,kui,kui,0,uiː,3,1,off,0.1511553660690285,4.844682860400095,593.8017078634836,1179.8485799608236,586.04687209734,94,LK
16,16,käisid,käi,0,æi,2,1,off,0.1884896639957336,5.000333550818728,557.817924934894,1135.5703376769936,577.7524127420996,94,LK
17,17,käisid,sid,1,i,2,0,ictus,0.0838650761371671,5.050335197088061,452.5387608148472,1232.29655830796,779.7577974931128,94,LK
