,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
0,miks,miks,0,i,3,1,ictus,0.10396513864685097,2.6904496895048315,489.46357075562963,1196.1127158526597
1,sa,sa,0,a,3,1,x,0.12534082075619724,2.9751102018668005,929.9593695136401,1546.3080203746345
2,mullu,mul,0,ull,2,1,ictus,0.22385050775760496,3.250477408073814,673.6902180140477,1645.9640167969621
3,mullu,lu,1,u,1,0,x,0.14791706941182925,3.456227058568345,565.5404328044591,1088.7435913611355
4,meile,mei,0,ei,2,1,ictus,0.23594664309517066,3.7079630780248527,755.8427074168636,1510.4670776538942
5,"tulnud,",tul,0,ul,2,1,ictus,0.15195575477364542,4.197786783579258,539.1805715045831,1242.740514116569
6,"tulnud,","nud,",1,u,2,0,x,0.13492692629041336,4.419925667509146,499.15728265636056,1029.8894816591396
7,murumullu,mu,0,u,1,1,ictus,0.10562585554233728,4.732715651992574,674.5308324513782,1072.731537989071
8,murumullu,ru,1,ʊ,1,0,x,0.19965610353016228,4.935300739388445,565.1770489342106,1101.5984924797024
9,"käinud,",käi,0,æi,2,1,ictus,0.20406053007602587,6.194527797353654,710.4132018463602,1722.9358241023192
10,"käinud,","nud,",1,u,2,0,x,0.09664240676856473,6.404206690912627,524.6373248120842,1190.8830047299682
11,käsud,kä,0,æ,1,1,ictus,0.22066047021492885,10.269098805719562,901.3811648106965,1378.550634512292
12,käsud,sud,1,ʊ,2,0,x,0.13282474906141317,10.53796180583581,519.5272546590966,1114.5037387192588
13,järele,jä,0,æ,1,1,ictus,0.2249901219272452,10.858851822119426,835.0184860198221,1474.928463212746
14,järele,re,1,ɛ,1,0,x,0.1939596181300569,11.130358350382785,705.8808985997756,1357.082077270457
15,ja,ja,0,a,3,1,x,0.1241099773242631,11.595565192743765,822.1907862194247,1301.7699004795143
16,sõitsid,sõit,0,ɵii,2,1,ictus,0.1547510522903206,11.836826713053856,621.9875396169784,1522.3781585126453
17,sõitsid,sid,1,i,2,0,x,0.0910772864701439,12.110840797430082,576.753637476277,2003.543486791431
18,sajad,sa,0,a,1,1,ictus,0.23013961090962987,12.433093614978624,888.4886893083875,1419.7890544866477
19,sajad,jad,1,ɑ,2,0,x,0.057064670994561695,12.67643308400385,856.7658054175184,1316.5263548606704
20,"sõnumida,",sõ,0,ɵ,1,1,ictus,0.2681825932633153,12.98811585648937,665.8362348085502,1502.7393776395002
21,"sõnumida,",num,1,ʊ,2,0,x,0.14729272919450054,13.26899422497191,506.5664747785111,1116.673225454751
22,tul´lid,tul´,0,ull,2,1,ictus,0.2622292934643049,17.353673720933187,747.030173448277,1921.2599255884722
23,tul´lid,lid,1,i,2,0,x,0.08110400911852622,17.527955143934953,538.939338693976,2543.545980749197
24,san´dil,san´,0,a,2,1,ictus,0.15821337340578978,17.78308378948759,912.3577152659143,1563.2065884340236
25,kevadisel,ke,0,e,1,1,ictus,0.22271981253550877,18.90703213093812,747.2401709777739,1619.8291627481954
26,kevadisel,va,1,ɑ,1,0,x,0.16822988092974356,19.18498296682194,792.7522604824701,1366.9518546973152
27,kehval,keh,0,e,2,1,ictus,0.12143348304959645,19.939323997915018,622.6858182227604,1451.693263459013
28,nüüd,nüüd,0,yyː,3,1,ictus,0.16173471151626373,23.72605692400677,525.6010524623863,1411.1768257067222
29,riisud,rii,0,iː,2,1,ictus,0.22685719307832386,24.263858251533403,451.98721985519154,2077.3815755952687
30,riisud,sud,1,u,2,0,x,0.1025940085988033,24.510744757482804,543.6277220877256,1292.8384212714918
31,"riide'eida,",rii,0,iː,2,1,ictus,0.22125695830344227,24.81778914544773,369.16953520154425,1872.2831895123252
32,kakud,ka,0,a,2,1,ictus,0.12444138828438511,25.757492728009765,831.4237243510951,1429.9873074788673
33,kakud,kud,1,u,2,0,x,0.08071873834662568,26.02487354878297,532.6117992251369,1166.142880874356
34,"kaelakardasida,",kae,0,ae,2,1,ictus,0.25897261886209577,26.34796837664947,734.3923371526167,1662.2578798325442
35,"kaelakardasida,",la,1,a,2,0,x,0.15302927478214556,26.604418534938233,920.2386940809494,1303.4053351969987
36,Võtke,võt,0,ɵ,2,1,ictus,0.08468325147775246,30.559935135318916,598.1281153655741,1450.1610932835129
37,Võtke,ke,1,e,1,0,x,0.12288005587008044,30.877329724961058,540.5356414861408,1423.5875927016345
38,kinni,kin,0,i,2,1,ictus,0.16337461973635925,31.11684802511269,466.10977079272436,1639.7029362168387
39,kinni,ni,1,i,1,0,x,0.11647012600399265,31.37209674100653,550.6356575522266,1168.6403950979166
40,"kuningas,",ku,0,u,1,1,ictus,0.1830979229996217,31.6129223059314,669.7980242357091,975.1365226161093
41,"kuningas,",nin,1,ɪ,2,0,x,0.15119449343087865,31.81281773614658,608.2266739004024,992.5595688396462
42,võtke,võt,0,ɵ,2,1,ictus,0.08366316744714197,32.95431789226532,767.3695049824972,1502.6003253373474
43,võtke,ke,1,e,1,0,x,0.12740986779809305,33.28450550766267,556.1595304749197,1368.7428127751875
44,kinni,kin,0,i,2,1,ictus,0.15648110948447425,33.4973538217139,689.0201658795764,1708.3368503536158
45,kinni,ni,1,i,1,0,x,0.14098793032759005,33.763836503212204,549.6614782034261,1556.6860935389816
46,kuningas!,ku,0,u,1,1,ictus,0.1859181498825322,34.01209302943931,706.473058781903,965.1925890077756
47,kuningas!,nin,1,ɪ,2,0,x,0.154931791568778,34.21815231222578,472.8555246952295,901.1262189196779
