,Unnamed: 0,word,syll,shape,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2,fileid,performer
0,0,sain,sain,CVVVC,0,ai,3,1,ictus,0.2175000000000002,4.263002267573697,714.0715357968329,1129.944777615632,41,LK
1,1,"mal´lika,",mal´,CVCC,0,a(i),2,1,off,0.1790552098692233,4.614737874330443,946.0218210350926,1448.3486618320478,41,LK
2,2,"mal´lika,",li,C V,1,i,2,0,ictus,0.1307604895159233,4.936602886411314,574.0961185858455,1864.2379849790625,41,LK
3,3,mal´likast,mal´,CVCC,0,a(i),2,1,ictus,0.1933534811996828,5.891855940280881,1075.4294888291693,1570.3292085691105,41,LK
4,4,mal´likast,li,C V,1,i,2,0,off,0.1227136901610972,6.186454818309457,589.298997879259,1688.8446583624898,41,LK
5,5,sain,sain,CVVVC,0,ai,3,1,off,0.1598390022675726,6.843504535147393,726.2486821138739,1464.8305152401772,41,LK
6,6,"man´nipil´li,",man´,CVCC,0,a(i),2,1,ictus,0.2405921612725414,7.231304826393209,1019.7223556568624,1563.474025503276,41,LK
7,7,"man´nipil´li,",ni,C V,1,i,2,0,off,0.1307700443513821,7.530925888174154,493.4653391661523,1222.8364386099545,41,LK
8,8,petsariinist,pet,CVCC,0,e,2,0,ictus,0.1829709949562641,14.273478628301271,582.118842703618,1242.8698524211927,41,LK
9,9,petsariinist,sa,CV ,1,a,1,0,off,0.2079421661640239,14.67349620159188,830.6650500751082,1462.7041690036142,41,LK
10,10,sain,sain,CVVVC,0,ai,3,1,ictus,0.2079421661640257,15.680127649268584,745.5882972345939,1101.6049330429917,41,LK
11,11,"riimuka,",rii,CVV,0,iː,2,1,off,0.2755656348352513,16.089010075848364,766.7764871998414,1256.8215882110314,41,LK
12,12,"riimuka,",mu,C V,1,u,2,0,ictus,0.2062515794472439,16.421500571262897,628.0771198256773,1008.1229617434165,41,LK
13,13,riimukast,rii,CVV,0,iː,2,1,ictus,0.2556622535714545,17.527497687146422,592.0772977809596,1226.3653781301955,41,LK
14,14,riimukast,mu,CV ,1,u,1,0,off,0.1510895691609945,17.833282879818594,583.4143947079924,1004.6888216283556,41,LK
15,15,sain,sain,CVVVC,0,ai,3,1,off,0.1756288524534355,18.440134063154957,692.9870429832378,1283.0226318253776,41,LK
16,16,"rindasõl´ge,",rin,CVVC,0,i,2,1,ictus,0.167928757759423,18.76077297457621,591.71379274972,1251.9512965461065,41,LK
17,17,"rindasõl´ge,",da,CV ,1,a,1,0,off,0.2165495809068716,19.16524204146053,910.0401229329124,1521.3719485830386,41,LK
18,18,rindasõlesta,rin,CVVC,0,i,2,1,ictus,0.188967752639769,20.55544586747296,434.9642129653259,1858.336146063061,41,LK
