,word,syll,foot,segment,quantity,stressed,ictus,duration,f1,f2,song,performer
0,miks,miks,0,i,3,1,ictus,0.1039651386468509,606.8358913693418,1313.8857606141862,94,LK
1,sa,sa,0,a,3,1,ictus,0.1253408207561972,674.8698814840866,1469.8997619127915,94,LK
3,mullu,lu,1,u,1,0,off,0.1580853657533629,590.1233587428162,1120.7897249706973,94,LK
4,meile(e)i,mei,0,ei,2,1,ictus,0.2359466430951706,711.5173302110895,1380.4563613846476,94,LK
5,meile(e)i,le,1,eiː,1,0,ictus,0.1560073310288947,799.4531622890729,1443.2690958280564,94,LK
7,"tulnud,","nud,",1,u,2,0,off,0.1313314464297121,812.8397917725954,1427.744656656622,94,LK
8,murumullu,mu,0,u,1,1,off,0.1056258555423372,700.8980799697481,1445.3218504103002,94,LK
9,murumullu,ru,1,ʊ,1,0,ictus,0.2079560601747934,447.55066085959135,1265.17262234087,94,LK
11,ei,ei,0,e,3,1,off,0.0824757397467728,849.9746438542288,1270.154977640702,94,LK
12,ei,ei,0,iː,3,1,ictus,0.0980754314193861,486.1479673449778,1091.0512341323413,94,LK
13,"käinud,",käi,0,æi,2,1,ictus,0.2040605300760258,675.4424971054746,1643.5170778021686,94,LK
14,"käinud,","nud,",1,u,2,0,ictus,0.0966424067685647,489.6137411671354,1524.0602910262403,94,LK
15,kui,kui,0,uiː,3,1,off,0.1511553660690285,593.8017078634836,1179.8485799608236,94,LK
16,käisid,käi,0,æi,2,1,off,0.1884896639957336,557.817924934894,1135.5703376769936,94,LK
17,käisid,sid,1,i,2,0,ictus,0.0838650761371671,452.5387608148472,1232.29655830796,94,LK
18,käsud,kä,0,æ,1,1,off,0.2206604702149288,797.9998713633752,1585.346387482305,94,LK
19,käsud,sud,1,ʊ,2,0,off,0.1328247490614131,492.07180884798737,1206.3409724216413,94,LK
20,ja,ja,0,a,3,1,off,0.1241099773242631,710.1810078986849,1458.255476512402,94,LK
21,sõitsid,sõit,0,ɵii,2,1,ictus,0.1547510522903206,463.3389143467204,1385.697704973539,94,LK
22,sajad,sa,0,a,1,1,off,0.2301396109096298,527.931085323631,1202.689964296478,94,LK
23,sajad,jad,1,ɑ,2,0,off,0.0570646709945616,541.8025328772347,1197.9662817906835,94,LK
24,"sõnumida,",sõ,0,ɵ,1,1,ictus,0.2681825932633153,593.2125911242267,962.4189071780804,94,LK
25,"sõnumida,",num,1,ʊ,2,0,ictus,0.1472927291945005,672.0186033218416,1437.1815905204874,94,LK
26,Nüüd,nüüd,0,yyː,3,1,off,0.1897011195181335,618.6824572384849,1526.8359077865616,94,LK
28,tul´lid,lid,1,i,2,0,off,0.0811040091185262,821.8207686499463,1657.5163319354197,94,LK
29,san´dil,san´,0,a,2,1,off,0.1582133734057897,1067.7245913928996,2028.151278633712,94,LK
30,"ajal,",a,0,a,1,0,ictus,0.2495957572863076,770.124693032729,1429.593404568102,94,LK
32,kevadisel,ke,0,e,1,1,off,0.2411791213329053,724.1114821114037,1881.8702344480955,94,LK
33,kevadisel,va,1,ɑ,1,0,off,0.1682298809297435,751.1061269993924,1531.129462848733,94,LK
34,kehval,keh,0,e,2,1,ictus,0.1281654014706177,594.4022840897417,1355.2636165980948,94,LK
35,kehval,val,1,a,2,0,off,0.148898039943802,927.4848580462856,1516.360277272785,94,LK
36,"ajal,",a,0,a,1,0,ictus,0.23224737297841,868.7885256215859,1990.8582769047723,94,LK
38,nüüd,nüüd,0,yyː,3,1,off,0.1946601074292999,431.2868059688468,1830.176247039032,94,LK
39,sina,si,0,i,1,1,off,0.0346100269971856,419.6997673523096,1659.8282676628985,94,LK
40,sina,na,1,ɑ,1,0,ictus,0.1006405457549064,530.7627210822858,824.3292222718262,94,LK
