,label,duration,segments,syllables
0,"Lõpe,",0.877833037347531,"[0.10285996792019914, 0.29308178131584894, 0.19114029216251016, 0.2907509959489728]","[('lõ', 2, 1), ('pe', 1, 0)]"
1,"lõpe,",0.8369767278098372,"[0.07560123069583846, 0.2229970075229284, 0.2410941061056866, 0.2972843834853838]","[('lõ', 2, 1), ('pe', 1, 0)]"
2,"linakene,",1.658266257971219,"[0.06371343072083668, 0.24211103673917944, 0.041413729968543755, 0.31856715360418386, 0.19432596369855215, 0.40139461354127093, 0.05415641611271127, 0.342583913585941]","[('li', 1, 1), ('na', 2, 0), ('ke', 1, 0), ('ne', 1, 0)]"
3,kui,0.4555510296539822,"[0.0732704453289621, 0.1581043527209225, 0.2241762316040976]","[('kui', 3, 1)]"
4,sa,0.26066708328664223,[0.08099440331653618],"[('sa', 3, 1)]"
5,ei,0.13052030867501063,"[0.05137288747870894, 0.0658459090284449]","[('ei', 3, 1)]"
6,"lõpe,",0.7526566528309635,"[0.07570810075496315, 0.22934868977438239, 0.21008015279832826, 0.2375197095032897]","[('lõ', 2, 1), ('pe', 1, 0)]"
7,siia,0.7776995237045865,"[0.11606539825001061, 0.28781827799982285, 0.15053820764822223, 0.22327763980653081]","[('sii', 2, 1), ('a', 1, 0)]"
8,"jätan,",0.9101237173229055,"[0.13759411586439807, 0.21952035973724904, 0.17303369532230217, 0.32798924337212476, 0.05198630302683149]","[('jä', 2, 1), ('tan', 2, 0)]"
9,siia,0.9201168844730869,"[0.1591562679257681, 0.45741989470302435, 0.09333333333333371, 0.21020738851096077]","[('sii', 2, 1), ('a', 1, 0)]"
10,jätan,0.8354498299319708,"[0.14411252834467092, 0.17094629924597093, 0.19544088896264533, 0.22694468703045168, 0.09800542634823195]","[('jä', 2, 1), ('tan', 2, 0)]"
11,tsirgu,0.7744498299319744,"[0.025307679748467038, 0.031064685493761957, 0.268398882666105, 0.0807681822837818, 0.0907088816417847, 0.2782015180980739]","[('tsir', 2, 1), ('gu', 1, 0)]"
