,word,syll,shape,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
0,vaesed,vae,CVV,0,a,2,1,ictus,0.089154612301098,0.5562164784861499,722.9277587987921,1894.3538303767068
1,vaesed,vae,CVV,0,e,2,1,ictus,0.1538453876989021,0.6777164784861499,701.2378330397318,2083.4146803954477
2,vaesed,sed,CVVC,1,e,2,0,x,0.09221822706506466,0.8886614443449248,470.36904041536053,2025.528473597832
3,öösed,öö,VV,0,øː,2,1,ictus,0.21340135294157947,1.1481719108190367,441.73613368843456,1943.1354426917458
4,öösed,sed,CVVC,1,e,2,0,x,0.09918691083464193,1.4209944130634045,655.6224877084333,2153.7705356474476
5,"orjad,",or,VVC,0,o,2,1,ictus,0.11716678629286936,1.6298675484752323,867.5281874260783,1023.2636451260615
6,"orjad,",jad,CVVC,1,a,2,0,x,0.09177773126102529,1.9316944677028203,1505.78992691648,2037.1791759465923
7,öösed,öö,VV,0,øː,2,1,ictus,0.24288443459798215,3.719361793582462,344.3242984931224,1981.1742063361255
8,öösed,sed,CVVC,1,e,2,0,x,0.05335033823539481,3.9769877690086446,498.35355487181687,2083.5300123789993
9,"orjad,",or,VVC,0,o,2,1,ictus,0.1708450982512124,4.170514950874393,805.306196810464,1360.3687247733346
10,"orjad,",jad,CVVC,1,a,2,0,x,0.09687298258532273,4.442399272298998,769.3040532543887,1826.9815437946413
11,päesed,päe,CVV,0,æ,2,1,ictus,0.14320353947395503,4.72415522677021,785.5886230566558,2158.1410474533304
12,päesed,päe,CVV,0,e,2,1,x,0.07300572600632904,4.832259859510352,694.8361221951795,2023.2765334109315
13,päesed,sed,CVVC,1,e,2,0,x,0.05054242569668954,5.002138568102005,416.0915821164395,1849.889593483105
14,"pärjad,",pär,CVVC,0,æ,2,1,ictus,0.08648657891143863,5.245915115270539,855.010404024102,1887.6650260928648
15,"pärjad,",jad,CVVC,1,a,2,0,x,0.0979293894303952,5.535305248429683,1494.4222349128675,1908.0953893102578
16,kinnikiilutud,kin,CVVC,0,i,2,1,ictus,0.12435707181445554,7.426580449548311,321.54350554393227,2177.479318344818
17,kinnikiilutud,ni,CV,1,i,1,0,x,0.14800054882880875,7.703253398822568,337.103807192438,2153.3196728547723
18,"sulased,",su,CV,0,u,1,0,x,0.11595934004812491,8.842049082905952,469.7829270399912,1488.8120471432378
19,"sulased,",la,CV,1,ɑ,1,0,ictus,0.1892419282236002,9.040967671502138,912.7979501356558,1756.952986304062
20,raudapandud,rau,CVV,0,au,2,1,ictus,0.25011695408573686,11.07025438710374,723.1974798065952,1258.2152551883416
21,raudapandud,da,CVV,1,a,2,0,x,0.0807255777737037,11.320371341189478,1043.6437751730543,1366.0312245997052
22,"palgalised,",pal,CVVC,0,al,2,0,ictus,0.22124242322380105,12.154685158830567,907.5044506041253,1796.0830857481276
23,"palgalised,",ga,CV,1,a,1,0,x,0.19150856100393554,12.464550135509917,1012.4587442635709,1548.9975555901615
24,teisi,tei,CVV,0,ei,2,1,ictus,0.25144032421317597,15.47805745439064,490.17003988589727,2171.8010893264263
25,teisi,si,CV,1,i,1,0,x,0.1442473438907168,15.760596976598602,443.903961725887,1945.6806191095702
26,teenimä,tee,CVV,0,eː,2,1,ictus,0.2845245773991216,16.0693430976034,457.4096117175415,1916.3624407225564
27,teenimä,ni,CV,1,i,1,0,ictus,0.14689408414559324,16.349897564620207,396.8636419598752,2308.9126950723985
