,word,syll,shape,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
0,Laske,las,CVC,0,a,2,1,ictus,0.1945432826169622,0.17450807596869078,886.4407408342954,1581.0562054889756
1,Laske,ke,CV,1,e,1,0,x,0.1901218443756676,0.5821388225094628,655.7470955387637,2091.7751464779826
2,sissi,sis,CVC,0,i,2,1,ictus,0.1687515595427438,0.8940893751745583,400.25751093152394,1775.0934139137717
3,sissi,si,CV,1,i,1,0,x,0.1893241770180587,1.2916160959298533,467.3935133198321,2059.5841638156303
4,"kadrisandi,",kad,CVC,0,a,2,1,ictus,0.2619810954886461,1.6315503394438853,904.3947407712146,1613.7851224470733
5,"kadrisandi,",ri,CV,1,i,1,0,x,0.16700824674649772,2.014036763814959,547.911589561845,2074.1232145807658
6,Laske,las,CVC,0,a,2,1,ictus,0.16655725623582818,5.768752551020407,875.2063764307483,1580.0950860475232
7,Laske,ke,CV,1,e,1,0,x,0.16276268421296258,6.135397569458144,665.3964871782167,2248.8562900094207
8,sissi,sis,CVC,0,i,2,1,ictus,0.16462440635073428,6.406592531973554,575.6239882751921,1879.984556325948
9,sissi,si,CV,1,i,1,0,x,0.17725591478279856,6.794163955123826,535.417869350235,1554.7145468976983
10,"kadrisandi,",kad,CVC,0,a,2,1,ictus,0.22475644393247496,7.105995287447405,1088.7525265410668,1679.6744094174278
11,"kadrisandi,",ri,CV,1,i,1,0,x,0.1644624704972033,7.449520593103223,621.2364424061423,1971.7133730674554
12,kadril,kad,CVC,0,a,2,1,ictus,0.2155274119570354,10.916384536651869,1187.4150823657842,1443.01517236019
13,kadril,kad,CVC,0,i,2,1,x,0.14204079438945882,11.267294229222644,476.14144810117614,2181.758862698834
14,küüdse,küüd,CVVC,0,yy,2,1,ictus,0.24627181806794773,11.589940901344068,660.892957592667,2225.175787228501
15,küüdse,se,CV,1,e,1,0,x,0.18211451901193598,11.940922385202988,738.1963198855126,2153.0592409172796
16,"külmeteve,",kül,CVC,0,y,2,1,ictus,0.17557820417586,12.205885815953522,515.6396404632359,2016.2785566137761
17,"külmeteve,",me,CV,1,e,2,0,x,0.12625848390174177,12.556974534182611,832.2205925248315,1658.2015472968862
18,kadril,kad,CVC,0,a,2,1,ictus,0.21384472009597744,16.17903221761641,1184.7807039489912,1400.134248070971
19,kadril,ril,CVC,1,i,2,0,x,0.09855931747675584,16.5070697288504,510.71505293456545,1943.0654670170736
20,varba,var,CVC,0,a,2,1,ictus,0.13390103440514523,16.76732170876064,933.8286245000866,1477.9608546554905
21,varba,ba,CV,1,a,1,0,x,0.18359932991158345,17.176961450230863,1105.3719445610716,1441.485909269395
22,valutave!,va,CV,0,a,1,1,ictus,0.2381143547194604,17.47121133947745,1064.5448454129587,1663.3348235539402
23,valutave!,lu,CV,1,ʊ,2,0,x,0.12429278972692259,17.73133096867011,719.9212393877409,1125.8485653188502
