index,track,performer,County,dur_m:ss,m,s,dur_s,year_recorded,yob,age,avg_bpm
1,65,LK,Parnumaa,1:41,1,41,,1961,1888,73,72
2,41,LK,Parnumaa,0:45,0,45,,1961,1888,73,84
3,92,LK,Parnumaa,0:45,0,45,,1961,1888,73,94
4,94,LK,Parnumaa,0:35,0,35,,1961,1888,73,104
5,09,MH,Parnumaa,0:54,0,54,,1961,1891,70,74
6,18,MH,Parnumaa,3:36,3,36,,1961,1891,70,210
7,55,LO,Parnumaa,0:32,0,32,,1965,1873,92,98
8,77,LO,Parnumaa,1:26,1,26,,1965,1873,92,88
9,69,LO,Parnumaa,0:49,0,49,,1964,1873,91,108
10,60,KK,Parnumaa,5:34,5,34,,1960,1893,67,146
11,47,KK,Parnumaa,1:17,1,17,,1960,1893,67,138
12,84,KK,Parnumaa,4:25,4,25,,1960,1893,67,102
13,46,LI,Parnumaa,1:51,1,51,,1965,1890,75,74
14,59,"MS, GJ ",Parnumaa,1:23,1,23,,1962,1884,78,80
15,93,MS,Parnumaa,1:47,1,47,,1960,1884,76,68
16,81,GJ,Parnumaa,4:52,4,52,,1961,1884,77,94
