,word,syll,shape,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
0,"kul´likene,",kul´,CVCC,0,ull,2,1,ictus,0.3530448783692175,1.621379097651856,449.1300500609548,1289.0634496492262
1,"kul´likene,",li,CVV,1,i,2,0,off,0.1543827770318955,1.8750929253524125,598.3386037770322,1899.8674742710473
2,mis,mis,CVVVC,0,i,3,1,ictus,0.16259822347079966,2.83125701071358,661.9235303441334,1356.112457365561
3,see,see,CVVVV,0,eeː,3,1,off,0.20024836124352996,3.198575656814336,614.9608074955822,1666.8598469420867
4,kul´li,kul´,CVCC,0,ull,2,1,ictus,0.35224081998013723,3.5780985502080767,435.89370962042057,1665.5150142447833
5,kul´li,li,CV,1,i,1,0,off,0.2098455948817839,3.859141757639037,617.4468307939469,2406.151184526856
6,meile,mei,CVV,0,ei,2,1,ictus,0.19415390419044698,4.150677078869561,571.8772716819909,1487.200635374971
7,meile,le,CV,1,e,1,0,off,0.25982908644165725,4.567607053484146,695.0278440745266,1930.7866066736708
8,otsib,ot,VVCC,0,oi,2,1,off,0.1753843454296904,5.966226092367769,683.5559395185759,1335.174237933911
9,otsib,sib,CVVC,1,i,2,0,ictus,0.10088480046840598,6.301474044693549,643.6794955541891,1693.871569351234
10,küla,kü,CV,0,y,1,1,off,0.2948940321384166,6.678574433980536,480.661575592487,1677.7963106056327
11,küla,la,CV,1,ɑ,1,0,ictus,0.19900078689171252,6.9786596304255,806.844767010724,1446.5864163518606
12,"kanusida,",ka,CV,0,a,1,1,off,0.3430282975588179,7.359381352415996,805.2930690490804,1383.0829144188488
13,"kanusida,",nu,CV,1,ʊ,1,0,ictus,0.18400000000000016,7.712489795918367,678.3432422742155,1082.410007544057
14,talu,ta,CV,0,a,1,1,ictus,0.34431004195519677,9.348738249632119,816.6671600439787,1274.308844985728
15,talu,lu,CV,1,ʊ,1,0,off,0.22073855104607,9.765489001120958,630.5130711139043,1136.3304180827097
16,"anisida,",a,VV,0,a,1,1,ictus,0.3704565308313441,10.061086542059664,1047.6501001556196,1351.6614299035252
17,"anisida,",ni,CV,1,ɪ,1,0,off,0.23593342716029753,10.435475463290599,458.676276470051,1155.9520227359344
18,mõisa,mõi,CVV,0,ɵi,2,1,ictus,0.30258256059852684,11.450451144244843,460.9036779796428,1577.5023672426858
19,mõisa,sa,CV,1,a,1,0,off,0.20001118148688946,11.774676382045671,813.046617329413,1335.6301531501047
20,paari,paa,CVV,0,aː,2,1,ictus,0.30560458451021866,12.1285166498506,802.9039725577409,1293.6926776820605
21,paari,ri,CV,1,i,1,0,off,0.14696792193055508,12.431204049198541,514.1052143374209,1305.4285201768423
