,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
0,Laske,las,0,a,2,1,ictus,0.1945432826169622,0.23316149994706703,905.4269299905745,1484.5378695644763
1,Laske,ke,1,e,1,0,x,0.1901218443756676,0.4336607945364821,865.4733619697087,2212.2621795674354
2,sissi,sis,0,i,2,1,x,0.1687515595427438,0.573608357244337,651.2664852986346,2079.3329098745094
3,sissi,si,1,i,1,0,ictus,0.1893241770180587,0.7878011807284707,530.6652492478161,2308.9759360879343
4,"kadrisandi,",kad,0,a,2,1,ictus,0.2619810954886461,1.0122609913384273,843.3314242815272,1887.7943968455502
5,"kadrisandi,",ri,1,i,1,0,x,0.16700824674649772,1.1322745669673528,819.5861150916533,2412.3501051336857
6,Laske,las,0,a,2,1,refrain,0.16655725623582818,3.0092942176870747,952.8006662097813,1587.2026781102813
7,Laske,ke,1,e,1,0,refrain,0.16276268421296258,3.189770797888794,944.2103635557177,1540.6922018325736
8,sissi,sis,0,i,2,1,refrain,0.16462440635073428,3.3267645707498277,897.1515053406237,1613.3035704619379
9,sissi,si,1,i,1,0,refrain,0.17725591478279856,3.5300239136490124,819.7879571685054,1552.620660806385
10,"kadrisandi,",kad,0,a,2,1,refrain,0.22475644393247496,3.7215649766730587,468.14266544557796,2091.0095095221163
11,"kadrisandi,",ri,1,i,1,0,refrain,0.1644624704972033,3.848107149424514,456.45894755291727,1717.1028754680926
12,kadril,kad,0,a,2,1,ictus,0.2155274119570354,5.61983782729371,722.1506044835625,1761.1859378230156
13,kadril,kad,0,i,2,1,ictus,0.14204079438945882,5.740177710403416,912.1169836823011,1550.6294829207166
14,küüdse,küüd,0,yy,2,1,x,0.24627181806794773,5.979674314222995,815.1732589962991,2141.124262113638
15,küüdse,se,1,e,1,0,x,0.18211451901193598,6.107047081860446,655.5833321136093,2245.8617728156964
16,"külmeteve,",kül,0,y,2,1,ictus,0.17557820417586,6.234626561108656,518.5753769335745,2061.9266190216404
17,"külmeteve,",me,1,e,2,0,ictus,0.12625848390174177,6.3731811300176116,526.051837492467,1638.6035452366161
18,kadril,kad,0,a,2,1,refrain,0.21384472009597744,8.249899648880188,437.8392953122133,1719.5601861334733
19,kadril,ril,1,i,2,0,refrain,0.09855931747675584,8.327454352532767,868.5205889307023,1712.6259309734653
