Filename,position,segment,syllable,F1,F2,F3,performer,euc
65,ictus,a,1,863.4881692,1539.999522,2205.076974,LK,676.5113532
65,ictus,a,1,862.0567832,1363.401687,2267.201266,LK,501.3449034
65,ictus,a,1,892.855915,1370.46561,2432.023357,LK,477.6096947
65,ictus,a,1,955.5349296,1495.497025,2188.163929,LK,539.9620954
65,ictus,a,1,1042.70677,1442.473462,2943.824393,LK,399.7666912
65,ictus,a,1,929.3392472,1352.632145,1972.752108,LK,423.2928974
65,ictus,a,1,901.0085677,1415.271745,2468.297929,LK,514.2631774
65,ictus,a,1,934.6694086,1482.710584,1831.099529,LK,548.0411749
41,ictus,a,1,1022.286324,1573.195081,1876.816476,LK,550.9087568
41,ictus,a,1,615.0404611,1430.992818,2347.644706,LK,815.9523572
41,ictus,a,1,747.0977714,1437.164612,2307.074888,LK,690.0668403
41,ictus,a,1,823.6175638,1397.042696,2401.558936,LK,573.4251323
41,ictus,a,1,955.7193563,1570.342989,2683.627324,LK,614.6236325
41,ictus,a,1,842.7380974,1349.313592,1737.991637,LK,506.5754947
92,ictus,a,1,812.3607353,1270.931748,2488.26276,LK,458.5710127
92,ictus,a,1,1047.209378,1350.155876,2822.751824,LK,302.9464983
92,ictus,a,1,899.4529725,1419.300408,1804.184852,LK,519.8474351
94,ictus,a,1,635.8690267,1167.706194,1912.157544,LK,531.8371671
94,ictus,a,1,821.1066623,1292.97587,2374.175602,LK,471.8692081
94,ictus,a,1,802.5725493,1474.95475,2376.964231,LK,672.382201
94,ictus,a,1,913.0585374,1565.9546,2026.136139,LK,652.8960623
94,ictus,a,1,905.9436681,1366.740557,1971.87067,LK,460.7968889
94,ictus,a,1,936.7443592,1087.15434,1622.035989,LK,150.4099809
94,ictus,a,1,833.5176914,1431.557376,2499.170819,LK,598.0396841
65,ictus,a,2,863.4881692,1539.999522,2205.076974,LK,676.5113532
65,ictus,a,2,862.0567832,1363.401687,2267.201266,LK,501.3449034
65,ictus,a,2,892.855915,1370.46561,2432.023357,LK,477.6096947
65,ictus,a,2,955.5349296,1495.497025,2188.163929,LK,539.9620954
65,ictus,a,2,1042.70677,1442.473462,2943.824393,LK,399.7666912
65,ictus,a,2,929.3392472,1352.632145,1972.752108,LK,423.2928974
65,ictus,a,2,901.0085677,1415.271745,2468.297929,LK,514.2631774
65,ictus,a,2,934.6694086,1482.710584,1831.099529,LK,548.0411749
41,ictus,a,2,1022.286324,1573.195081,1876.816476,LK,550.9087568
41,ictus,a,2,615.0404611,1430.992818,2347.644706,LK,815.9523572
41,ictus,a,2,747.0977714,1437.164612,2307.074888,LK,690.0668403
41,ictus,a,2,823.6175638,1397.042696,2401.558936,LK,573.4251323
41,ictus,a,2,955.7193563,1570.342989,2683.627324,LK,614.6236325
41,ictus,a,2,842.7380974,1349.313592,1737.991637,LK,506.5754947
92,ictus,a,2,812.3607353,1270.931748,2488.26276,LK,458.5710127
92,ictus,a,2,1047.209378,1350.155876,2822.751824,LK,302.9464983
92,ictus,a,2,899.4529725,1419.300408,1804.184852,LK,519.8474351
94,ictus,a,2,635.8690267,1167.706194,1912.157544,LK,531.8371671
94,ictus,a,2,821.1066623,1292.97587,2374.175602,LK,471.8692081
94,ictus,a,2,802.5725493,1474.95475,2376.964231,LK,672.382201
94,ictus,a,2,913.0585374,1565.9546,2026.136139,LK,652.8960623
94,ictus,a,2,905.9436681,1366.740557,1971.87067,LK,460.7968889
94,ictus,a,2,936.7443592,1087.15434,1622.035989,LK,150.4099809
94,ictus,a,2,833.5176914,1431.557376,2499.170819,LK,598.0396841
65,off,a,1,854.7914935,1543.961461,2077.349238,LK,689.1699676
65,off,a,1,802.1249087,1339.612405,2170.305123,LK,537.4874964
65,off,a,1,829.3462534,1679.119618,2173.063397,LK,849.773365
65,off,a,1,798.2513015,1525.256562,2161.711204,LK,727.0052601
65,off,a,1,811.3345698,1445.596497,1866.443806,LK,634.2619274
65,off,a,1,982.8566682,1362.157385,1565.286602,LK,379.3007165
41,off,a,1,835.561181,1450.538082,2480.366242,LK,614.9769015
41,off,a,1,1123.879292,1507.857243,2183.593259,LK,383.9779513
41,off,a,1,803.7268155,1507.781053,2308.139326,LK,704.054238
94,off,a,1,929.9830718,1516.750843,1636.685289,LK,586.7677715
94,off,a,1,889.0269372,1427.838561,1909.68335,LK,538.8116238
94,off,a,1,693.6288927,1623.766236,2001.154217,LK,930.137343
94,off,a,1,598.6504184,1350.624576,2563.063035,LK,751.9741579
94,off,a,1,598.1549804,1512.89143,2449.15445,LK,914.7364501
65,off,a,2,927.6761367,1433.044672,1938.135467,LK,505.3685352
65,off,a,2,860.8713843,1334.395125,1808.525684,LK,473.523741
65,off,a,2,829.5942223,1410.405953,1925.961147,LK,580.8117312
65,off,a,2,909.9714037,1544.395298,2299.861771,LK,634.423894
65,off,a,2,837.8789294,1524.212868,2026.82251,LK,686.3339386
65,off,a,2,942.8801679,1481.061657,2538.332597,LK,538.1814895
65,off,a,2,904.4340132,1429.202235,2909.239434,LK,524.7682214
41,off,a,2,830.768242,1462.440465,2059.435263,LK,631.672223
41,off,a,2,910.831472,1522.841041,2737.124508,LK,612.0095686
41,off,a,2,826.9930257,1352.445324,1552.853706,LK,525.452298
41,off,a,2,930.2525402,1343.783332,2091.634585,LK,413.5307923
41,off,a,2,824.9218814,1394.498463,2512.576574,LK,569.576582
41,off,a,2,843.0752744,1394.025888,1500.40658,LK,550.9506139
41,off,a,2,698.5050475,1628.240601,2496.930286,LK,929.7355533
92,off,a,2,811.435302,1346.492836,1609.022,LK,535.0575339
92,off,a,2,800.2421059,1446.833109,1924.761272,LK,646.5910029
92,off,a,2,826.2409605,1425.992918,2607.875796,LK,599.7519571
94,off,a,2,915.1375331,1347.133957,2610.988662,LK,431.9964241
94,off,a,2,919.3925933,1319.594479,1793.809734,LK,400.2018853
65,ictus,a,1,922.5333976,1421.449921,2322.239819,LK,498.9165239
65,ictus,a,1,921.227242,1286.698563,2057.060922,LK,365.4713213
92,ictus,a,1,802.89438,1293.642351,2334.509933,LK,490.7479707
65,ictus,a,2,922.5333976,1421.449921,2322.239819,LK,498.9165239
65,ictus,a,2,921.227242,1286.698563,2057.060922,LK,365.4713213
92,ictus,a,2,802.89438,1293.642351,2334.509933,LK,490.7479707
65,off,a,1,896.6745861,1570.536826,1899.893299,LK,673.8622394
94,ictus,æ,1,728.7266551,1601.069588,2216.081659,LK,872.3429325
94,ictus,æ,2,728.7266551,1601.069588,2216.081659,LK,872.3429325
94,off,æ,1,904.6102114,1382.740103,2235.157005,LK,478.1298914
65,off,ɑ,2,777.7792046,1356.183562,1942.791589,LK,578.4043569
65,off,ɑ,2,833.6165882,1424.285919,2457.795992,LK,590.6693305
65,off,ɑ,2,985.7320512,1481.119245,1763.301928,LK,495.3871934
65,off,ɑ,2,990.1955167,1396.385787,2279.160376,LK,406.1902699
65,off,ɑ,2,1024.594837,1243.528833,2071.444782,LK,218.9339969
65,off,ɑ,2,819.5368173,1543.077763,1719.257575,LK,723.5409461
41,off,ɑ,2,907.5994039,1390.420985,2582.438214,LK,482.8215814
41,off,ɑ,2,855.9235829,1513.425945,2048.259956,LK,657.5023618
94,off,ɑ,2,891.103507,1207.228272,1786.838303,LK,316.1247651
94,off,ɑ,2,792.8790102,1367.330103,2264.479747,LK,574.451093
94,off,ɑ,2,932.7883582,1585.921985,2170.040853,LK,653.1336265
65,ictus,e,1,703.0708081,1664.886133,2611.790796,LK,961.8153252
41,ictus,e,1,581.7863868,1245.51695,2505.893015,LK,663.7305629
