,word,syll,foot,segment,quantity,stressed,ictus,duration,f1,f2,song,performer,euclid
0,Kelle,kel,0,e,2,1,ictus,0.1591071524618356,469.30622091138457,1315.902305599643,77,LO,141.61217066354644
1,Kelle,le,1,e,1,0,off,0.2802800784691608,603.9457145632364,931.9888241654344,77,LO,485.0789114368752
2,Meie,mei,0,ei,2,1,ictus,0.3941617059142688,507.3558630100301,1682.260594591923,77,LO,273.5891571166844
3,Metu,me,0,e,2,1,ictus,0.1510714376910353,741.7277640418996,1804.3590209582176,77,LO,424.91958344328646
4,olid,o,0,o,1,1,off,0.0879523798315649,509.0453882314418,1044.14360886728,77,LO,376.61283226968675
5,olid,lid,1,ɪ,2,0,off,0.0823328680771897,577.4862215150401,929.4418857800588,77,LO,486.4737531757509
6,oksa,ok,0,o,2,1,ictus,0.143035722920235,852.8408048407856,1309.0345049566329,77,LO,302.68908967831123
7,Metu,me,0,e,2,1,ictus,0.1301785792869552,744.3705004325378,1655.828112564792,77,LO,296.8571116214619
8,oksale?,ok,0,o,2,1,ictus,0.1646411086502173,748.3964430044857,1166.9452415363833,77,LO,306.453170231767
9,oksale?,sa,1,a,1,0,off,0.2089285840407928,811.5689870364024,1363.6847980211646,77,LO,247.50330445163206
10,õita,õi,0,ɵi,2,1,ictus,0.2025000122241547,618.9555550448941,1767.373157994379,77,LO,354.96541501175193
11,Metu,me,0,e,2,1,ictus,0.1147101972447366,731.981425825589,2081.0778809531867,77,LO,684.7514963603087
12,Metu,tu,1,u,1,0,off,0.2187596095244934,558.2888109923972,1193.5556205868131,77,LO,222.5854191894685
13,õuna,õu,0,ɵu,2,1,ictus,0.3070166958966744,504.5224922218825,1199.779726327207,77,LO,225.66731928482253
14,õuna,na,1,a,1,0,off,0.2286896600954051,537.8309880574914,1314.5047539374525,77,LO,106.21773793187347
16,valmis,mis,1,i,2,0,off,0.0958316141742763,303.8824480935433,1787.6326079435903,77,LO,456.9904888866523
17,"saanud,",saa,0,aː,2,1,ictus,0.2375544238686302,645.0163790681653,1457.2860045315413,77,LO,86.02609688583208
18,"saanud,","nud,",1,u,2,0,off,0.1012305783531068,347.13745016101507,1060.21753111242,77,LO,419.49622420613167
19,tuli,tu,0,u,1,1,ictus,0.2086735920829028,535.3053211161988,937.44078762887,77,LO,479.6408210538734
20,tuli,li,1,ɪ,1,0,off,0.1427195216002523,393.79143594641454,2295.599670550551,77,LO,897.1474190480659
21,tõstis,tõs,0,ɵ,2,1,ictus,0.1039300604425257,512.9225633559329,1522.2053235809249,77,LO,120.52497766824743
22,tõstis,tis,1,i,2,0,off,0.0877331679060304,427.4689883043798,2272.0801484457,77,LO,867.9487338190859
23,"torma,",tor,0,o,2,1,ictus,0.1106787656660657,800.0804700945831,1273.0393127815507,77,LO,271.11770137978067
24,"torma,","ma,",1,a,2,0,off,0.1315144794703151,423.57777129916656,1334.7504041417342,77,LO,167.05552272658423
25,raputase,ra,0,a,2,1,ictus,0.1430448022730033,693.0395805932443,1269.8733125460951,77,LO,191.15635262836577
26,meresse.,me,0,e,1,1,ictus,0.2827267435732317,721.1205569393175,1287.7981105872382,77,LO,198.36446771479322
27,meresse.,res,1,ɛ,2,0,off,0.1463683444211483,610.8130816410152,1336.2796959444624,77,LO,89.5999785305989
28,üles,ü,0,y,1,1,ictus,0.2242641700231011,376.9479173943344,1447.5260480622237,77,LO,195.26403623151006
29,üles,les,1,ɛ,2,0,off,0.1319208774307938,611.6254963382813,711.3903676472753,77,LO,705.7126494394502
30,kirju,kir,0,i,2,1,ictus,0.1210183255770047,514.0194006228198,895.7077689945115,77,LO,523.1082507889627
31,kirju,ju,1,u,1,0,off,0.1580870018798705,508.17333841442473,1127.2706340072148,77,LO,295.05202781346605
32,"lindu,",lin,0,i,2,1,ictus,0.1264696015038993,344.4694120471392,1668.5700075770164,77,LO,338.46974870149404
33,lendas,len,0,e,2,1,ictus,0.1326003078689304,734.3520391294235,1091.7795871853168,77,LO,363.5350241511961
34,lendas,das,1,a,2,0,off,0.1170002716490543,758.6915338852814,1746.4905327404458,77,LO,380.87736064071765
35,"läbi,",lä,0,æ,1,1,ictus,0.2535057742641839,783.7731485947688,1739.2903693789738,77,LO,387.9063483903148
36,"läbi,","bi,",1,ɪ,2,0,off,0.1372803187348878,366.5968495114,1701.5822794942846,77,LO,350.5174950964029
37,koppeli.,kop,0,o,3,1,ictus,0.128659533434444,575.3108442460613,853.5859164699921,77,LO,562.2949546606875
38,koppeli.,pe,1,e,1,1,off,0.2074902149526494,557.8764249806229,888.7485977121227,77,LO,527.2344701289721
39,koplis,kop,0,o,2,1,ictus,0.1124719957632649,572.962283016233,1083.2499820784858,77,LO,332.6188836690049
40,koplis,lis,1,i,2,0,off,0.0630405683106616,481.1458284146935,2017.349103603016,77,LO,607.9698433292159
42,kolmi,mi,1,i,1,0,off,0.1567510714846491,559.7957198040666,2302.447618182104,77,LO,886.6499805821198
43,põesast:,põe,0,ɵe,2,1,ictus,0.2146321642128654,576.2380278517303,1588.856902892032,77,LO,173.1310798333242
44,põesast:,sast:,1,a,2,0,off,0.1130946403737027,667.2458717171055,1430.669806759834,77,LO,98.73814550192095
45,oli,o,0,o,1,1,off,0.0868795882936481,495.53341599148,1359.6131439553635,77,LO,93.01892679148412
46,oli,li,1,ɪ,1,0,off,0.0762373196502963,385.6494153769185,1108.6861303455596,77,LO,358.0479039347201
47,põesas,põe,0,ɵe,2,1,ictus,0.2000991563628318,587.6452727391047,1571.7414327156723,77,LO,156.92728120701165
48,põesas,sas,1,a,2,0,off,0.167458868445486,876.3109067966886,1601.771075459539,77,LO,358.63845825503694
49,"õbepõesas,",õ,0,ɵ,1,0,ictus,0.2541691766159957,571.7229381310057,1399.1595673308432,77,LO,16.823771109764763
50,"õbepõesas,",be,1,ɛ,2,0,off,0.1660397254925598,528.9079795085843,1235.9462050436434,77,LO,184.45620653897288
51,põesas,põe,0,ɵe,2,1,ictus,0.2133044721671808,578.0236245870309,1629.8618363513565,77,LO,214.1744034837562
52,põesas,sas,1,a,2,0,off,0.0841476358090744,645.6868165017123,1318.2536040759835,77,LO,123.7365547308361
53,"vaskepõesas,",vas,0,a,2,0,ictus,0.1230451848093068,763.3273691644954,1610.4997042119471,77,LO,274.6050517691044
54,"vaskepõesas,",ke,1,e,2,0,off,0.1691673123636619,535.7424684523208,658.5671167496112,77,LO,758.0426650933092
56,kolmas,mas,1,a,2,0,off,0.1167057586068054,801.0956904965373,1204.333846760199,77,LO,313.5574057967191
57,pesa,pe,0,e,1,1,ictus,0.2010830670550163,550.542372148299,1678.7246318241453,77,LO,263.5642847846189
58,pesa,sa,1,ɑ,1,0,off,0.119863674877223,760.1110914841424,1470.306178619863,77,LO,198.11574754828865
59,"pesitama,",pe,0,e,1,1,ictus,0.2576209469494372,713.2103574905306,2191.22080497393,77,LO,788.551249765976
